SKU,Descripcion,ID_Rubro_Anterior,Nombre_Rubro_Anterior
80012,SURGIBAC PA BIDÓN 5 LITROS,28,Detergentes y Desinfectantes
80018,SURGIZIME O3 BOTELLA X 1 LT,28,Detergentes y Desinfectantes
80026,SURGIBAC PA PLUS BIDÓN 5 LITROS,28,Detergentes y Desinfectantes
