SKU,Descripcion,ID_Rubro_Anterior,Nombre_Rubro_Anterior
10211,Acohol 70 % bidon x 5 Lts,28,GENERAL
10213,Caja toallas Super cortas,28,GENERAL
10214,Cubrezapatos par,28,GENERAL
10215,Jabon Liquid Sound Bac 500 cc,28,GENERAL
10217,Surgibac PA x 1 Lts,28,GENERAL
10218,Surgizime O3 bidón 5 litros,28,GENERAL
